新编号,原标识,来源,里程,记录数,TQI均值,TQI标准差,最佳MAE,改善幅度,类型
119,里程529400,批量样本,529400,247,1.886923076923077,0.1697734207230036,0.1441140236626726,10.9%,批量样本
120,里程128400,批量样本,128400,179,1.6093296089385478,0.1775539094123219,0.144579086965376,13.9%,批量样本
121,里程454400,批量样本,454400,205,2.649365853658537,0.2544989075150441,0.1453325709842547,46.9%,批量样本
122,里程435400,批量样本,435400,252,2.2379761904761906,0.2660622389004058,0.1455774574582624,20.7%,批量样本
123,里程530400,批量样本,530400,250,2.11384,0.2276941653440573,0.1462832197118125,47.4%,批量样本
124,里程134400,批量样本,134400,178,1.6185955056179775,0.1765672176610589,0.1464120430150741,15.5%,批量样本
125,里程222400,批量样本,222400,225,2.004488888888889,0.3340843444496452,0.1476991500596158,35.7%,批量样本
126,里程604400,批量样本,604400,250,1.98896,0.1834949590588253,0.1496352206243475,23.3%,批量样本
127,里程1133400,批量样本,1133400,416,3.1620841346153847,0.1916004631586855,0.150953679226223,10.1%,批量样本
128,里程441400,批量样本,441400,251,2.172231075697211,0.1876651336568363,0.1524095193693545,33.7%,批量样本
129,里程225400,批量样本,225400,247,1.887327935222672,0.2324020594241392,0.1537904929283508,31.9%,批量样本
130,里程62400,批量样本,62400,179,1.6560335195530729,0.1901490219683516,0.1538486728395062,16.5%,批量样本
131,里程498400,批量样本,498400,247,2.184898785425101,0.188698715313911,0.1549709108438302,22.9%,批量样本
132,里程967400,批量样本,967400,424,3.2027382075471693,0.217918868917653,0.1553158392147249,20.9%,批量样本
133,里程255400,批量样本,255400,241,1.867717842323652,0.1963844530217664,0.15584076586582,29.4%,批量样本
134,里程1191400,批量样本,1191400,506,2.2622055335968376,0.4733388350027852,0.1570318241830745,56.7%,批量样本
135,里程929400,批量样本,929400,435,2.909232183908046,0.2384569227993472,0.1572481612855747,24.4%,批量样本
136,里程678400,批量样本,678400,264,1.8964772727272723,0.1821984864231619,0.1578379364385614,29.6%,批量样本
137,里程733400,批量样本,733400,484,3.694729338842975,0.3198247564386346,0.1607234098710766,46.9%,批量样本
138,里程734400,批量样本,734400,482,3.357321576763485,0.3076303744901389,0.1613507791459634,34.7%,批量样本
139,里程594400,批量样本,594400,241,1.8942738589211616,0.1862849287752412,0.1624088622664686,11.0%,批量样本
140,里程391400,批量样本,391400,248,2.1056048387096777,0.2310993728646519,0.162471397970659,37.7%,批量样本
141,里程833400,批量样本,833400,400,4.158815000000001,0.3100520625293383,0.1624793541136693,36.3%,批量样本
142,里程1213400,批量样本,1213400,486,2.540944444444445,0.3496452915411663,0.163076840505819,39.6%,批量样本
143,里程468400,批量样本,468400,252,2.1453571428571427,0.2338800374995869,0.1673630939644668,19.4%,批量样本
144,里程480400,批量样本,480400,249,2.100843373493976,0.2443484002235321,0.1691371597808581,19.9%,批量样本
145,里程14400,批量样本,14400,181,1.6334254143646414,0.2259876624347975,0.1716178987678987,40.5%,批量样本
146,里程474400,批量样本,474400,254,2.0498425196850394,0.3075633788651089,0.1719387041587514,19.0%,批量样本
147,里程254400,批量样本,254400,250,1.8612,0.2700947327487794,0.1741017764951097,42.5%,批量样本
148,里程405400,批量样本,405400,246,2.841382113821138,0.2295739628387171,0.1768164685571154,22.1%,批量样本
149,里程213400,批量样本,213400,250,2.07012,0.2231150080727633,0.1772670223142394,25.1%,批量样本
150,里程661400,批量样本,661400,262,2.042519083969466,0.2384025492658912,0.1794883901183286,27.7%,批量样本
151,里程494400,批量样本,494400,251,2.254183266932271,0.2620695142111811,0.1829054328404742,27.4%,批量样本
152,里程253400,批量样本,253400,253,2.035889328063241,0.3049728383767358,0.1834944030012196,51.8%,批量样本
153,里程1130400,批量样本,1130400,412,3.2257766990291263,0.2139905372098365,0.1836717697109645,17.1%,批量样本
154,里程272400,批量样本,272400,246,2.042560975609756,0.2331338109709096,0.1851070815824486,33.5%,批量样本
155,里程456400,批量样本,456400,251,2.1465338645418326,0.2424762624435752,0.1857594886031959,23.9%,批量样本
156,里程526400,批量样本,526400,247,2.1113765182186226,0.1899735966229101,0.1860992904277138,14.8%,批量样本
157,里程563400,批量样本,563400,253,2.22806324110672,0.2549381421093202,0.1873738679998133,19.5%,批量样本
158,里程477400,批量样本,477400,250,2.05216,0.2580606821324213,0.188314790520956,20.9%,批量样本
159,里程613400,批量样本,613400,247,2.186315789473684,0.2185814146513374,0.1900222243576891,11.4%,批量样本
160,里程811400,批量样本,811400,491,3.1909327902240325,0.3271877286197354,0.1918471941149148,24.3%,批量样本
161,里程910400,批量样本,910400,476,3.029182773109244,0.2616442627077319,0.1933520442050423,22.2%,批量样本
162,里程879400,批量样本,879400,454,3.0221431718061678,0.2608411325967908,0.1937396118935326,35.6%,批量样本
163,里程628400,批量样本,628400,248,2.2026612903225806,0.2697865669262925,0.1940131751967188,33.5%,批量样本
164,里程713400,批量样本,713400,506,3.3383418972332017,0.4405339151524678,0.1944575245511268,65.3%,批量样本
165,里程408400,批量样本,408400,253,2.311660079051383,0.2318789945687533,0.1953595633182752,21.2%,批量样本
166,里程481400,批量样本,481400,251,2.1485657370517925,0.2533162739765343,0.1954167078689241,16.0%,批量样本
167,里程555400,批量样本,555400,257,2.3411089494163426,0.380851784600857,0.1955130175072839,58.7%,批量样本
168,里程615400,批量样本,615400,246,2.20239837398374,0.2094062057766041,0.1966036921524185,21.1%,批量样本
