tqi_mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,time_span_days
901400,488,3.191481557377049,1.7956771785132477,1.39,41.15,2012-12-12,2026-03-19,4845
902400,489,3.007650306748466,0.4269491782691481,1.43,4.988,2012-12-12,2026-03-19,4845
903400,489,3.069040899795501,0.5754120212729469,1.2,8.86,2012-12-12,2026-03-19,4845
904400,489,2.6801492842535786,0.4652158059558671,1.2,3.62,2012-12-12,2026-03-19,4845
905400,489,2.9042167689161555,0.5831738293253826,1.5,4.817,2012-12-12,2026-03-19,4845
906400,489,3.1661267893660527,0.5031685833155497,1.59,6.203,2012-12-12,2026-03-19,4845
907400,488,3.114944672131147,0.5317474032226002,1.57,4.551,2012-12-12,2026-03-19,4845
908400,487,3.20147022587269,0.5836446035804941,1.1,8.533,2012-12-12,2026-03-19,4845
909400,489,2.758969325153374,0.6427292895386798,1.1,12.94,2012-12-12,2026-03-19,4845
910400,489,2.9992678936605315,0.4600336273924166,1.15,6.944,2012-12-12,2026-03-19,4845
911400,488,3.163770491803279,0.5325276603377603,1.58,7.462,2012-12-12,2026-03-19,4845
912400,489,3.8064212678936604,1.1484454864226055,1.6,24.941,2012-12-12,2026-03-19,4845
913400,489,2.51980981595092,0.41572537660805436,1.25,6.765,2012-12-12,2026-03-19,4845
914400,489,2.9712760736196318,0.6670092346579455,1.1,7.345,2012-12-12,2026-03-19,4845
915400,489,2.848030674846626,0.45495773659749156,1.2,6.934,2012-12-12,2026-03-19,4845
924400,473,2.9505010570824526,0.5890852112570486,0.9,4.7,2012-12-12,2026-03-19,4845
925400,473,3.2378858350951374,0.4919335549969947,1.3,6.37,2012-12-12,2026-03-19,4845
926400,469,2.8796460554371004,0.4670509984352048,1.1,4.09,2012-12-12,2026-03-19,4845
927400,487,3.4876652977412737,0.9658049697510075,1.0,15.18,2012-12-12,2026-03-19,4845
928400,487,3.1093264887063654,0.8926740024596185,0.8,15.887,2012-12-12,2026-03-19,4845
929400,488,2.764981557377049,0.5281032714986625,0.9,6.216,2012-12-12,2026-03-19,4845
930400,488,2.8158217213114756,0.4447418592107081,1.26,7.367,2012-12-12,2026-03-19,4845
931400,489,2.789044989775051,0.5063321680134643,1.09,5.454,2012-12-12,2026-03-19,4845
932400,489,2.526188139059305,0.43221369442200125,1.1,5.174,2012-12-12,2026-03-19,4845
933400,490,3.0397632653061226,0.563509200181064,1.19,6.603,2012-12-12,2026-03-19,4845
934400,490,2.7893693877551025,0.43809202920715085,1.15,5.109,2012-12-12,2026-03-19,4845
935400,490,2.7365,0.5298471062794624,1.2,5.828,2012-12-12,2026-03-19,4845
936400,490,2.774238775510204,0.4760112152260621,1.05,7.7,2012-12-12,2026-03-19,4845
937400,489,3.1860388548057257,1.2337913746959392,1.15,24.758,2012-12-12,2026-03-19,4845
939400,488,4.329112704918033,2.816237618166084,2.23,63.85,2012-12-12,2026-03-19,4845
940400,488,3.446172131147541,0.7730211771552974,1.3,11.305,2012-12-12,2026-03-19,4845
941400,485,3.505117525773196,0.8950352875229115,1.5,17.25,2012-12-12,2026-03-19,4845
942400,488,3.411090163934426,1.953772522027355,1.1,42.86,2012-12-12,2026-03-19,4845
943400,489,3.367108384458078,0.7279979525839629,1.47,12.9,2012-12-12,2026-03-19,4845
944400,488,3.1865532786885247,1.5219435311946647,1.3,34.62,2012-12-12,2026-03-19,4845
