mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,unique_months,time_span_days,expected_months,monthly_coverage
912400.0,445,3.7520876404494383,0.614372410283916,1.6,6.194,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
913400.0,445,2.51798202247191,0.3568784960421992,1.33,3.8,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
914400.0,422,2.9877156398104265,0.5350823939856275,1.8,4.3,2012-12-12,2026-03-12,155,4838,162,0.9567901234567902
915400.0,440,2.846390909090909,0.38224734315917375,1.83,3.766,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
924400.0,433,2.9633187066974593,0.5983965921729916,0.9,4.7,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
925400.0,422,3.255869668246446,0.4152596412747373,2.06,3.95,2012-12-12,2026-03-19,155,4845,162,0.9567901234567902
926400.0,429,2.8925034965034966,0.4573870200233895,1.4,4.09,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
927400.0,444,3.4695810810810808,0.8107666384008099,1.0,6.05,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
928400.0,444,3.101903153153153,0.6731623842474087,1.4,5.05,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
929400.0,439,2.7765284738041003,0.45135869311390475,1.6,3.6,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
930400.0,442,2.8106266968325793,0.34772819357930373,1.47,3.84,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
931400.0,445,2.782002247191011,0.47733137439930523,1.1,4.26,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
932400.0,445,2.5064988764044944,0.4024148089841199,1.1,3.45,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
933400.0,446,3.024078475336323,0.5092507301784976,1.4,4.49,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
934400.0,447,2.7819507829977628,0.41869837521874886,1.2,3.92,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
935400.0,446,2.732219730941704,0.5090809354128543,1.2,4.26,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
936400.0,443,2.785081264108352,0.3457404509810103,1.45,4.13,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
937400.0,443,3.1065033860045146,0.4286300304957736,1.5,4.13,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
939400.0,440,4.182604545454545,0.4633192840547577,2.59,5.209,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
940400.0,442,3.388755656108597,0.6472655541045687,1.3,5.949,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
941400.0,442,3.451361990950226,0.615613099042762,1.5,5.189,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
942400.0,446,3.314174887892377,0.7991193022528827,1.1,6.32,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
943400.0,444,3.354121621621622,0.5139909517618728,1.9,5.42,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
944400.0,444,3.117114864864865,0.4556896372170698,1.4,4.184,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
945400.0,445,3.39318202247191,0.6422174568152466,1.1,4.811,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
946400.0,446,3.214477578475336,0.6360317483344707,1.2,5.341,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
947400.0,434,3.3683594470046083,0.4643369852353249,2.1,4.48,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
948400.0,447,3.1774586129753914,0.6865033664609356,1.4,5.427,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
