tqi_mile,original_count,clean_count,time_span_days,tqi_mean,tqi_std,seasonal_amplitude,data_driven_mae,rolling_anchor_mae,post_maintenance_mae,best_strategy,trident_improvement,is_trident_effective,best_trident_mae
435400,259,252,2627,2.2379761904761906,0.2660622389004058,0.4769841269841273,0.1836094497607655,0.1455774574582624,0.3082594233252131,rolling_anchor,20.71352664694383,True,0.1455774574582624
530400,260,250,2627,2.11384,0.2276941653440573,0.314,0.2779596190476191,0.1462832197118125,0.497965373890623,rolling_anchor,47.37249237388264,True,0.1462832197118125
134400,183,178,1860,1.6185955056179775,0.1765672176610589,0.2511188811188811,0.1733243727598566,0.1464120430150741,0.3395611209280564,rolling_anchor,15.527146768948578,True,0.1464120430150741
222400,249,225,2613,2.004488888888889,0.3340843444496452,0.4213450292397662,0.2297545897339826,0.1476991500596158,0.3094017403377149,rolling_anchor,35.71438540982933,True,0.1476991500596158
604400,260,250,2627,1.98896,0.1834949590588253,0.2607499999999996,0.1949775238095239,0.1496352206243475,0.1513083784207993,rolling_anchor,23.255143618231557,True,0.1496352206243475
1133400,510,416,4819,3.1620841346153847,0.1916004631586855,0.2489435483870963,0.1678924810996564,0.150953679226223,0.1567873760053118,rolling_anchor,10.089077106067034,True,0.150953679226223
441400,260,251,2627,2.172231075697211,0.1876651336568363,0.3498245614035085,0.2297263157894733,0.1524095193693545,0.6037279046304644,rolling_anchor,33.65604682877243,True,0.1524095193693545
225400,253,247,2627,1.887327935222672,0.2324020594241392,0.2659090909090909,0.2256860465116281,0.1537904929283508,0.1764945062621316,rolling_anchor,31.856446020721528,True,0.1537904929283508
62400,183,179,1879,1.6560335195530729,0.1901490219683516,0.2493750000000001,0.1841629629629628,0.1846988708421006,0.1538486728395062,post_maintenance,16.460579063094844,True,0.1538486728395062
498400,260,247,2627,2.184898785425101,0.188698715313911,0.2535014005602241,0.2008782945736435,0.1549709108438302,0.1565337066870912,rolling_anchor,22.853332077141523,True,0.1549709108438302
