日期,TQI值,检测日期,年份,月份,距2021年,是否异常,样本权重,年月
2021-07-05,4.3,2021-07-05,2021,7,0,False,6.0,2021-07
2021-07-17,2.9,2021-07-17,2021,7,0,False,6.0,2021-07
2021-08-04,2.6,2021-08-04,2021,8,0,False,6.0,2021-08
2021-08-20,2.59,2021-08-20,2021,8,0,False,6.0,2021-08
2021-09-03,2.94,2021-09-03,2021,9,0,False,6.0,2021-09
2021-09-19,2.62,2021-09-19,2021,9,0,False,6.0,2021-09
2021-10-10,2.66,2021-10-10,2021,10,0,False,2.0,2021-10
2021-10-23,2.74,2021-10-23,2021,10,0,False,2.0,2021-10
2021-11-01,2.7,2021-11-01,2021,11,0,False,2.0,2021-11
2021-11-09,1.41,2021-11-09,2021,11,0,False,2.0,2021-11
2021-11-16,2.87,2021-11-16,2021,11,0,False,2.0,2021-11
2021-11-24,1.56,2021-11-24,2021,11,0,False,2.0,2021-11
2021-12-03,2.9,2021-12-03,2021,12,0,False,2.0,2021-12
2021-12-11,2.82,2021-12-11,2021,12,0,False,2.0,2021-12
2021-12-18,2.71,2021-12-18,2021,12,0,False,2.0,2021-12
2021-12-24,2.78,2021-12-24,2021,12,0,False,2.0,2021-12
2022-01-04,3.06,2022-01-04,2022,1,1,False,2.0,2022-01
2022-01-13,2.99,2022-01-13,2022,1,1,False,2.0,2022-01
2022-01-18,2.95,2022-01-18,2022,1,1,False,2.0,2022-01
2022-01-24,3.12,2022-01-24,2022,1,1,False,2.0,2022-01
2022-02-12,2.85,2022-02-12,2022,2,1,False,2.0,2022-02
2022-02-17,3.07,2022-02-17,2022,2,1,False,2.0,2022-02
2022-02-23,3.03,2022-02-23,2022,2,1,False,2.0,2022-02
2022-03-09,2.81,2022-03-09,2022,3,1,False,2.0,2022-03
2022-03-13,2.6,2022-03-13,2022,3,1,False,2.0,2022-03
2022-03-21,2.57,2022-03-21,2022,3,1,False,2.0,2022-03
2022-03-26,2.58,2022-03-26,2022,3,1,False,2.0,2022-03
2022-04-04,2.87,2022-04-04,2022,4,1,False,2.0,2022-04
2022-04-11,2.57,2022-04-11,2022,4,1,False,2.0,2022-04
2022-04-18,2.59,2022-04-18,2022,4,1,False,2.0,2022-04
2022-04-25,2.87,2022-04-25,2022,4,1,False,2.0,2022-04
2022-05-08,2.79,2022-05-08,2022,5,1,False,2.0,2022-05
2022-05-18,2.75,2022-05-18,2022,5,1,False,2.0,2022-05
2022-05-27,2.67,2022-05-27,2022,5,1,False,2.0,2022-05
2022-06-07,2.72,2022-06-07,2022,6,1,False,2.0,2022-06
2022-06-22,2.53,2022-06-22,2022,6,1,False,2.0,2022-06
2022-07-07,2.5,2022-07-07,2022,7,1,False,6.0,2022-07
2022-07-22,2.65,2022-07-22,2022,7,1,False,6.0,2022-07
2022-08-07,2.58,2022-08-07,2022,8,1,False,6.0,2022-08
2022-08-22,2.53,2022-08-22,2022,8,1,False,6.0,2022-08
2022-09-07,2.51,2022-09-07,2022,9,1,False,6.0,2022-09
2022-09-21,2.45,2022-09-21,2022,9,1,False,6.0,2022-09
2022-10-09,1.4,2022-10-09,2022,10,1,False,2.0,2022-10
2022-10-21,2.62,2022-10-21,2022,10,1,False,2.0,2022-10
2022-11-04,2.44,2022-11-04,2022,11,1,False,2.0,2022-11
2022-11-11,2.67,2022-11-11,2022,11,1,False,2.0,2022-11
2022-11-18,2.48,2022-11-18,2022,11,1,False,2.0,2022-11
2022-11-25,2.54,2022-11-25,2022,11,1,False,2.0,2022-11
2022-12-04,2.53,2022-12-04,2022,12,1,False,2.0,2022-12
2022-12-09,2.6,2022-12-09,2022,12,1,False,2.0,2022-12
2022-12-16,2.41,2022-12-16,2022,12,1,False,2.0,2022-12
2022-12-23,1.42,2022-12-23,2022,12,1,False,2.0,2022-12
2023-01-02,2.64,2023-01-02,2023,1,2,False,2.0,2023-01
2023-01-08,2.75,2023-01-08,2023,1,2,False,2.0,2023-01
2023-01-15,2.47,2023-01-15,2023,1,2,False,2.0,2023-01
2023-01-27,2.79,2023-01-27,2023,1,2,False,2.0,2023-01
2023-02-02,2.65,2023-02-02,2023,2,2,False,2.0,2023-02
2023-02-09,2.71,2023-02-09,2023,2,2,False,2.0,2023-02
2023-02-16,2.69,2023-02-16,2023,2,2,False,2.0,2023-02
2023-02-23,2.68,2023-02-23,2023,2,2,False,2.0,2023-02
2023-03-03,2.56,2023-03-03,2023,3,2,False,2.0,2023-03
